EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
181165.100,170287.900,350260.400,392601.800,180158.200,187441.800,191289.300,179842.800,0.000
182394.400,171530.900,351025.700,393796.900,181259.400,188580.300,192901.000,181952.200,0.000
185844.400,176416.900,353680.300,401876.600,197575.000,192322.700,199194.600,187715.800,0.000
186958.700,178524.000,354636.000,406059.700,207722.900,193654.300,201834.700,189504.600,0.000
183880.800,174483.600,352218.200,399682.400,196262.500,190490.800,196662.400,184343.300,0.000
181190.900,170310.600,349921.600,392040.800,180219.300,187477.000,191322.800,179874.900,0.000
182411.700,171547.000,350684.800,393233.500,181331.000,188608.900,192927.800,181972.300,0.000
185833.700,176407.300,353327.300,401263.400,197566.100,192312.500,199182.600,187701.800,0.000
186937.400,178502.000,354282.800,405422.100,207659.600,193625.700,201808.800,189479.800,0.000
183879.200,174476.300,351880.700,399081.100,196257.400,190487.800,196665.300,184345.100,0.000
181217.300,170328.900,349597.300,391489.400,180309.400,187502.200,191357.100,179902.400,0.000
182436.500,171564.600,350359.600,392684.500,181426.300,188627.300,192955.300,181992.700,0.000
185825.400,176392.600,352987.000,400668.200,197560.200,192300.200,199170.700,187690.700,0.000
186912.400,178472.200,353937.000,404798.500,207577.200,193598.400,201778.900,189455.900,0.000
183877.000,174471.800,351546.800,398503.600,196247.900,190486.600,196667.800,184350.200,0.000
181232.200,170341.800,349273.300,390956.500,180381.000,187521.000,191381.400,179923.100,0.000
182446.900,171574.500,350032.800,392152.300,181486.600,188642.700,192970.900,182002.800,0.000
185812.400,176384.600,352653.100,400102.700,197536.000,192288.000,199156.400,187676.800,0.000
186883.200,178448.400,353597.700,404207.200,207486.900,193568.200,201743.500,189429.100,0.000
183876.300,174470.900,351222.500,397949.500,196206.500,190477.400,196656.100,184345.000,0.000
181262.600,170371.800,348967.200,390468.800,180442.200,187550.300,191412.600,179949.100,0.000
182460.500,171592.100,349723.500,391665.400,181546.200,188665.100,192997.800,182019.400,0.000
185791.800,176371.000,352328.200,399561.500,197502.600,192273.400,199141.600,187659.700,0.000
186850.000,178423.900,353266.900,403640.200,207401.400,193537.900,201707.700,189399.800,0.000
183867.200,174468.000,350906.200,397423.000,196168.800,190475.300,196649.400,184340.900,0.000
181287.800,170399.100,348674.600,390003.500,180483.300,187582.600,191445.200,179975.700,0.000
182487.600,171621.400,349434.100,391207.500,181603.900,188691.400,193025.300,182039.500,0.000
185783.200,176365.800,352021.600,399049.400,197490.500,192262.700,199126.300,187646.100,0.000
186820.500,178392.700,352952.000,403080.900,207319.200,193501.000,201665.000,189369.200,0.000
183867.100,174458.600,350607.100,396909.300,196138.400,190468.000,196640.700,184340.200,0.000
